Name [Unit], Value, Threshold, Evaluation Result
IsoCenterGroup/IsoCenterSize [mm], 0.38, 0.5, Pass
IsoCenterGroup/IsoCenterMVOffset [mm], 0.11, 0.5, Pass
IsoCenterGroup/IsoCenterKVOffset [mm], 0.16, 0.5, Pass
BeamGroup/BeamOutputChange [%], -0.1, 2, Pass
BeamGroup/BeamUniformityChange [%], 0.1, 2, Pass
BeamGroup/BeamCenterShift [mm], 0.17, 0.5, Pass
CollimationGroup/MLCGroup/MLCMaxOffsetA [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCMaxOffsetB [mm], 0.45, 1, Pass
CollimationGroup/MLCGroup/MLCMeanOffsetA [mm], 0.25, 1, Pass
CollimationGroup/MLCGroup/MLCMeanOffsetB [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf11 [mm], 0.1, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf12 [mm], 0.32, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf13 [mm], 0.1, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf14 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf15 [mm], 0.17, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf16 [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf17 [mm], 0.18, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf18 [mm], 0.29, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf19 [mm], 0.14, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf20 [mm], 0.31, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf21 [mm], 0.11, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf22 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf23 [mm], 0.17, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf24 [mm], 0.33, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf25 [mm], 0.2, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf26 [mm], 0.32, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf27 [mm], 0.17, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf28 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf29 [mm], 0.21, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf30 [mm], 0.32, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf31 [mm], 0.2, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf32 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf33 [mm], 0.24, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf34 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf35 [mm], 0.11, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf36 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf37 [mm], 0.14, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf38 [mm], 0.33, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf39 [mm], 0.19, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf40 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf41 [mm], 0.23, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf42 [mm], 0.32, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf43 [mm], -0.06, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf44 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf45 [mm], 0.2, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf46 [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf47 [mm], 0.19, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf48 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf49 [mm], 0.27, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesA/MLCLeaf50 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf11 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf12 [mm], 0.31, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf13 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf14 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf15 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf16 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf17 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf18 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf19 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf20 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf21 [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf22 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf23 [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf24 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf25 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf26 [mm], 0.43, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf27 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf28 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf29 [mm], 0.4, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf30 [mm], 0.43, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf31 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf32 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf33 [mm], 0.4, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf34 [mm], 0.45, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf35 [mm], 0.3, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf36 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf37 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf38 [mm], 0.44, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf39 [mm], 0.38, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf40 [mm], 0.39, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf41 [mm], 0.34, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf42 [mm], 0.43, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf43 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf44 [mm], 0.36, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf45 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf46 [mm], 0.4, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf47 [mm], 0.41, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf48 [mm], 0.37, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf49 [mm], 0.35, 1, Pass
CollimationGroup/MLCGroup/MLCLeavesB/MLCLeaf50 [mm], 0.4, 1, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashMaxA [mm], 0.27, 0.5, Pass
CollimationGroup/MLCBacklashGroup/MLCBacklashMaxB [mm], 0.28, 0.5, Pass
